,EntityKey,CommitteeID,CommitteeName,CommitteeAddress,CommitteeCity,CommitteeState,CommitteeZip,CommitteeType,CommitteeTypeDesc,MostRecentOrganizationDate,MostRecentSupportCandidateId,MostRecentOpposeCandidateId,InsertDate,UpdateDate
17,15357,13BQC00358,KEARNEY DESERVES BETTER (DISSOLVED),"404 EAST 25TH STREET, PO BOX 1120",KEARNEY,NE,68848,B,Ballot Question,2013-08-05,,,,
18,15358,13BQC00359,MINDEN T.A.S.K. CAMPAIGN (NOT REGISTERED),1662 32 ROAD,MINDEN,NE,68959,B,Ballot Question,1900-01-01,,,,2021-08-09 09:31:24.980
19,15359,13BQC00360,YES 4 CHS (NOT REGISTERED),1506 LINCOLN STREET,FORT CALHOUN,NE,68023,B,Ballot Question,1900-01-01,,,,2021-08-09 09:31:24.980
20,15360,13BQC00361,CRETE PARTNERS IN EDUCATION (NOT REGISTERED),143 E. 13TH STREET,CRETE,NE,68333,B,Ballot Question,1900-01-01,,,,2021-08-09 09:31:24.980
21,26925,18CAC02408,AMANDA L BAUER FOR CLERK OF THE DISTRICT COURT,828 RICHMOND AVENUE,HASTINGS,NE,68901,C,Candidate Committee,2018-04-10,18FIS14396,,,2020-11-09 13:16:19.600
22,26926,18CAC02409,HUNT FOR COUNTY BOARD ELECT WILLIS HUNT,616 MADDEN ROAD,HASTINGS,NE,68901,C,Candidate Committee,2018-04-11,18FIS14387,,,2020-11-09 13:16:19.600
23,26927,18CAC02410,LORENCE FOR LEGISLATURE,17305 18TH STREET,PLATTSMOUTH,NE,68048,C,Candidate Committee,2018-04-12,18FIS14389,,,
24,26928,18CAC02411,MOODY FOR SHERIFF,1218 LAKE AVENUE,GOTHENBURG,NE,69138,C,Candidate Committee,2018-04-12,14FIS13130,,,
25,26929,18CAC02412,DAVE MURMAN FOR LEGISLATURE,31260 ROAD A,GLENVIL,NE,68941,C,Candidate Committee,2018-04-18,99FIS09372,,,
26,26930,18CAC02413,JOHN HANSEN FOR CITY COUNCIL,408 DOWDLING CT,BELLEVUE,NE,68005,C,Candidate Committee,2018-09-17,18FIS14582,,,
27,26931,18CAC02414,AMBER SCHUPPAN FOR HALL COUNTY SUPERVISOR - NR,323 E. PLUM ST,DONIPHAN,NE,68832,C,Candidate Committee,1900-01-01,17FIS13989,,,2021-08-09 09:31:24.980
28,26932,18CAC02415,BEN JUSTMAN FOR SARPY COUNTY BOARD - NR,322 S. HARRISON,PAPILLION,NE,68046,C,Candidate Committee,1900-01-01,18FIS14153,,,2021-08-09 09:31:24.980
29,26933,18CAC02416,VOTE VEST,2145 GUNNISON DRIVE,LINCOLN,NE,68521,C,Candidate Committee,2018-04-16,15FIS13482,,,
30,26934,18CAC02417,HOLMAN FOR OPS BOARD - NOT REGISTERED,8269 GIRARD STREET,OMAHA,NE,68122,C,Candidate Committee,1900-01-01,18FIS14583,,,2021-08-09 09:31:24.980
31,26935,18CAC02418,JANE SKINNER FOR STATE AUDITOR,3419 CALIFORNIA STREET #2,OMAHA,NE,68131,C,Candidate Committee,2018-09-26,18FIS14497,,,
32,26936,18CAC02419,JENNIFER HERNANDEZ FOR COUNTY CLERK (NOT REGISTER),NOT A REGISTERED COMMITTEE,OMAHA,NE,68130,C,Candidate Committee,2018-04-17,18FIS14535,,,
33,26937,18CAC02420,PAM HOPKINS FOR COUNTY ATTORNEY - NR,NOT REGISTERED,Ralston,NE,68044,C,Candidate Committee,1900-01-01,06FIS10392,,,2021-08-09 09:31:24.980
34,26938,18CAC02421,DULCE SHERMAN FOR SCHOOL BOARD - NR,NOT REGISTERED,Ralston,NE,68044,C,Candidate Committee,1900-01-01,,,,2021-08-09 09:31:24.980
35,32553,99CAC00197,COMMITTEE TO ELECT ERNIE DOBESH,"1533 Stagecoach Rd.,",GRAND ISLAND,NE,68801,C,Candidate Committee,1998-03-11,,,,
36,32554,99CAC00198,COMMITTEE TO ELECT LLOYD DOWDING,17103 RAINBOW ROAD,BELLEVUE,NE,68123,C,Candidate Committee,1994-04-11,99FIS00198,,,
37,32555,99CAC00199,DOYLE FOR MUD COMMITTEE,7805 ARROWROCK DR,OMAHA,NE,68157,C,Candidate Committee,1990-10-10,,,,2020-09-21 17:06:33.893
38,32556,99CAC00200,COMMITTEE TO ELECT TOM DOYLE,6730 SOUTH 91ST AVENUE,OMAHA,NE,68127,C,Candidate Committee,1985-12-09,99FIS00200,,,2021-02-08 13:31:05.740
39,32557,99CAC00201,DUNNING FOR SHERIFF,15548 ARBOR STREET,OMAHA,NE,68144,C,Candidate Committee,1994-02-16,99FIS05624,,,
40,32558,99CAC00202,COMMITTEE TO ELECT ECCLES,"5711 South 77th Street,",OMAHA,NE,68127,C,Candidate Committee,1998-05-15,99FIS06981,,,2021-08-09 09:31:24.980
41,32559,99CAC00203,EDQUIST FOR COUNTY BOARD,12005 N 72ND ST,OMAHA,NE,68122,C,Candidate Committee,1980-07-14,99FIS00203,,,
42,32560,99CAC00204,RICH JAMES FOR SARPY COUNTY TREASURER,2805 CENTURY ROAD,BELLEVUE,NE,68123,C,Candidate Committee,1993-12-23,99FIS05540,,,
43,32561,99CAC00205,JIM JENSEN FOR LEGISLATURE,"10525 Mullen Road,",OMAHA,NE,68124,C,Candidate Committee,1994-04-01,99FIS01423,,,
44,32562,99CAC00206,CHRIS JERRAM FOR NRD (DISSOLVED),"7134 PACIFIC STREET,",OMAHA,NE,68106,C,Candidate Committee,1998-01-12,,,,2021-08-09 09:31:24.980
45,32563,99CAC00207,MIKE JOHANNS FOR GOVERNOR,5555 SOUTH STREET,LINCOLN,NE,68506,C,Candidate Committee,1986-08-26,99FIS02290,,,
46,32564,99CAC00208,KELLIE JOHN REGISTER OF DEEDS CAMPAIGN (DISSOLVED),"19 SKYLINE DRIVE,",KEARNEY,NE,68847,C,Candidate Committee,1998-06-23,99FIS00208,,,
47,71828,21CAC02816,KATHLEEN KAUTH FOR CITY COUNCIL,6103 S. 178TH ST,OMAHA,NE,68135,C,Candidate Committee,2021-02-03,21FIS15305,,2021-02-22 08:28:10.543,2021-03-15 08:28:15.690
48,71886,21CAC02818,LATHAN FOR DISTRICT 2,1299 FARNAM STREET STE 362,OMAHA,NE,68102,C,Candidate Committee,2021-03-09,21FIS15327,,2021-03-08 08:28:13.367,2021-04-26 08:28:19.803
49,71911,21IRC00551,ONWARD LINCOLN,3039 STRATFORD AVENUE,LINCOLN,NE,68502,I,Independent Reporting Committee,2021-02-19,,,2021-03-08 08:28:13.367,2021-03-15 08:28:15.690
50,71937,21CAC02815,PAUL ANDERSON FOR CITY COUNCIL,6626 CUMING STREET,OMAHA,NE,68132,C,Candidate Committee,2021-02-18,99FIS00022,,2021-03-15 08:28:11.510,
51,72002,21CAC02817,FRIENDS OF SJ FOR OMAHA,2316 N 52ND STREET,OMAHA,NE,68104,C,Candidate Committee,2021-02-26,21FIS15321,,2021-03-15 08:28:11.510,
52,71938,21CAC02821,KATE GOTSDINER FOR CITY COUNCIL,15862 O CIRCLE,OMAHA,NE,68135,C,Candidate Committee,2021-03-10,21FIS15342,,2021-03-15 08:28:11.510,
53,32565,99CAC00209,ROD JOHNSON FOR PSC,"210 West Ridge, P.O. Box 727",SUTTON,NE,68979,C,Candidate Committee,1992-02-18,99FIS00209,,,
54,32566,99CAC00210,LIZ KARNES FOR SCHOOL BOARD,"417 South 93rd Street,",OMAHA,NE,68114,C,Candidate Committee,1992-06-08,99FIS00210,,,2021-02-08 13:31:05.740
55,32567,99CAC00211,KEEFE FOR PUBLIC DEFENDER,3223 SOUTH SUMMIT BLVD,LINCOLN,NE,68502,C,Candidate Committee,1978-01-25,99FIS00211,,,
56,32568,99CAC00212,ELWELL FOR THE 24TH LEGISLATIVE DISTRICT,"352 E. Bek, P.O. Box 282",SEWARD,NE,68434,C,Candidate Committee,1998-01-07,,,,
57,32569,99CAC00213,FAIRCHILD FOR SHERIFF,"100 16th Street, P.O. Box 255",STANTON,NE,68779,C,Candidate Committee,1998-04-16,99FIS00213,,,
58,32570,99CAC00214,CAMPAIGN TO ELECT JACK FROST,917 NORTH 131 PLAZA,OMAHA,NE,68154,C,Candidate Committee,1986-05-13,99FIS00214,,,
59,32571,99CAC00215,FRY FOR LIEUTENANT GOVERNOR,P.O. BOX 35,EWING,NE,68735,C,Candidate Committee,1998-01-20,99FIS00215,,,
60,32572,99CAC00216,TIM GAY FOR SARPY COUNTY COMMISSIONER,"1001 Hogan Drive,",PAPILLION,NE,68046,C,Candidate Committee,1993-11-01,99FIS05418,,,2021-01-25 13:23:54.743
61,32573,99CAC00217,COMMITTEE TO ELECT CAROL GIVENS,"2626 County Road 11,",FREMONT,NE,68025,C,Candidate Committee,1994-05-05,99FIS00217,,,
62,32574,99CAC00219,CITIZENS FOR MIKE KENNEDY (DISSOLVED 2000),"350 NORTH 41ST STREET,",OMAHA,NE,68131,C,Candidate Committee,1998-05-21,99FIS07016,,,
63,32575,99CAC00220,R.L. KERRIGAN FOR LEGISLATURE,"10275 Grand Avenue,",OMAHA,NE,68134,C,Candidate Committee,1998-03-06,99FIS00220,,,
64,32576,99CAC00221,PAT KNAPP FOR ATTORNEY GENERAL (DISSOLVED),"3901 NORMAL BOULEVARD, SUITE 102,",LINCOLN,NE,68506,C,Candidate Committee,1998-07-06,99FIS00221,,,
65,32996,99CAC00698,COMMITTEE TO ELECT JERRY RYAN LEGISLATIVE DIST.45,113 MARTIN DRIVE,BELLEVUE,NE,68005,C,Candidate Committee,2004-09-20,99FIS09823,,,
66,32997,99CAC00699,TIM LONERGAN FOR CITY COUNCIL # 7 (DISSOLVED),9641 RUGGLES ST,OMAHA,NE,68134,C,Candidate Committee,2004-09-23,,,,
67,32998,99CAC00700,JAY C STODDARD FOR REGENT,1810 WEST CHARLES,GRAND ISLAND,NE,68803,C,Candidate Committee,2004-09-28,99FIS07151,,,
68,32999,99CAC00701,STRIGENZ FOR PUBLIC DEFENDER,16523 HILO CIRCLE,PAPILLION,NE,68046,C,Candidate Committee,2004-10-05,99FIS09644,,,2021-01-25 13:23:54.743
69,33000,99CAC00702,RON LARSEN FOR NPPD,301A COUNTRY CLUB LANE,KEARNEY,NE,68845,C,Candidate Committee,2004-10-05,99FIS09483,,,
70,33001,99CAC00703,GNADT'S NPPD CAMPAIGN COMMITTEE (DISSOLVED),1816 SOUTH HARRISON,GRAND ISLAND,NE,68803,C,Candidate Committee,2004-10-13,99FIS00218,,,
71,33002,99CAC00704,KOUKOL FOR NRD COMMITTEE,1313 CAMP GIFFORD ROAD,BELLEVUE,NE,68005,C,Candidate Committee,2004-10-14,05FIS09999,,,
72,33003,99CAC00705,HURLEY FOR NRD BOARD,13310 EAGLE RUN DRIVE,OMAHA,NE,68164,C,Candidate Committee,2004-10-22,,,,
73,33004,99CAC00706,BRUCE LEAR FOR CITY COUNCIL,4803 AVE L PLACE,KEARNEY,NE,68847,C,Candidate Committee,2004-10-22,,,,
74,33005,99CAC00707,THE COMMITTEE TO ELECT MARY SUE OFFERJOST,4606 LONGVIEW STREET,PAPILLION,NE,68133,C,Candidate Committee,2004-10-25,99FIS09491,,,
75,33006,99CAC00708,SLOBOTSKI FOR METRO BOARD COMMITTEE,6231 NORTH 128TH STREET,OMAHA,NE,68164,C,Candidate Committee,2004-10-25,99FIS09843,,,
76,33007,99CAC00709,FRIENDS FOR JIM SUTTLE (DISSOLVED 12/11/2008),6054 COUNTRY CLUB OAKS PLACE,OMAHA,NE,68152,C,Candidate Committee,2004-11-01,99FIS09878,,,
77,33008,99CAC00711,THOMPSON FOR O.P.P.D,3604 TWIN CREEK DRIVE SUITE 113,BELLEVUE,NE,68123,C,Candidate Committee,2004-11-12,99FIS09858,,,
78,33009,99CAC00712,ROBIN ESCHLIMAN FOR CITY COUNCIL,2865 O'HANLON DRIVE,LINCOLN,NE,68516,C,Candidate Committee,2004-12-09,99FIS09864,,,
79,33010,99CAC00714,ADAMS FOR MAYOR OF NORFOLK NE (DISSOLVED),BOX 468,NORFOLK,NE,68702,C,Candidate Committee,2004-08-25,99FIS05831,,,
80,33011,99CAC00715,MARVIN FOR CITY COUNCIL,5918 ROLLING HILLS BLVD,LINCOLN,NE,68512,C,Candidate Committee,2004-12-10,,,,
81,33012,99CAC00716,KOLLER FOR CITY COUNCIL,"300 S 68TH PLACE, #100",LINCOLN,NE,68503,C,Candidate Committee,2005-01-21,05FIS09914,,,
82,33013,99CAC00717,SHAWN TRAUDT FOR CITY COUNCIL,2510 SOUTH 36TH STREET,LINCOLN,NE,68506,C,Candidate Committee,2005-03-04,99FIS09897,,,
83,33014,99CAC00718,BARBARA BAIER FOR SCHOOL BOARD,1201 O STREET STE 301,LINCOLN,NE,68508,C,Candidate Committee,2005-03-07,99FIS09910,,,
84,49915,99PAC00004,GREAT PLAINS RURAL/METRO PAC,830 L STREET,LINCOLN,NE,68508,S,Separate Segregated Political Fund Committee,1997-09-10,,,,
85,49916,99PAC00005,LINCOLN CHAMBER OF COMMERCE PAC,"3 LANDMARK CENTRE, 1128 LINCOLN MALL, STE 100",LINCOLN,NE,68508,S,Separate Segregated Political Fund Committee,1998-03-17,,,,
86,49917,99PAC00006,LINCOLN FIREFIGHTERS ASSOCIATION PAC,241 VICTORY LANE,LINCOLN,NE,68528,S,Separate Segregated Political Fund Committee,1998-10-05,,,,
87,49918,99PAC00007,LINCOLN INDEPENDENT BUSINESS ASSOCIATION (PAC),"620 N 48TH, STE 205",LINCOLN,NE,68504,S,Separate Segregated Political Fund Committee,1981-03-27,,,,
88,49919,99PAC00008,NE PROFESSIONAL FIREFIGHTERS PAC,4246 SHANNA STREET,GRAND ISLAND,NE,68803,S,Separate Segregated Political Fund Committee,1997-04-28,,,,
89,49920,99PAC00009,FIRST NATIONAL OF NEBRASKA PAC,ONE FIRST NAT'L CENTER 1620 DODGE STREET,OMAHA,NE,68102,S,Separate Segregated Political Fund Committee,1995-01-24,,,,
90,71184,21CAC02787,ROBERT ANTHONY - NOT REGISTERED,STATE BOARD OF EDUC DIST 2,LINCOLN,NE,68508,C,Candidate Committee,9999-12-31,,,2021-01-18 13:22:58.117,
91,71185,21CAC02789,BROCK BEAN - NOT REGISTERED,MCC BOARD DIST. 1,OMAHA,NE,68114,C,Candidate Committee,9999-12-31,,,2021-01-18 13:22:58.117,2021-02-08 13:31:05.740
92,71186,21CAC02790,MEGAN RENNINGER FOR CITY COUNCIL - NOT REGISTERED,304 ELM STREET,Silver Creek,NE,68663,C,Candidate Committee,1900-01-01,,,2021-01-18 13:22:58.117,2021-08-09 09:31:24.980
93,71187,21CAC02791,JOSHUA DOWDING - NOT REGISTERED,BENNINGTON CITY COUNCIL WARD 1,BENNINGTON,NE,68007,C,Candidate Committee,9999-01-12,,,2021-01-18 13:22:58.117,
94,71188,21CAC02792,JEFF RYAN - NOT REGISTERED,BENNINGTON CITY COUNCIL WARD 2,BENNINGTON,NE,68007,C,Candidate Committee,9999-01-12,,,2021-01-18 13:22:58.117,
95,71189,21CAC02794,TIM BROUSEK - NOT REGISTERED,RALSTON CITY COUNCIL WARD 1,OMAHA,NE,68114,C,Candidate Committee,9999-01-12,,,2021-01-18 13:22:58.117,2021-02-08 13:31:05.740
96,71190,21CAC02797,ELIZABETH LISSY LOWNDES - NOT REGISTERED,VALLEY CITY COUNCIL,OMAHA,NE,68118,C,Candidate Committee,9999-01-12,,,2021-01-18 13:22:58.117,2021-01-25 13:23:54.743
97,71191,21CAC02798,CHRIS TENEYCK - NOT REGISTERED,VALLEY CITY COUNCIL,OMAHA,NE,68114,C,Candidate Committee,9999-01-12,,,2021-01-18 13:22:58.117,2021-02-08 13:31:05.740
98,71192,21CAC02800,LIZ MAYER - NOT REGISTERED,DC WEST BOARD OF EDU,OMAHA,NE,68111-,C,Candidate Committee,9999-01-12,,,2021-01-18 13:22:58.117,
99,71193,21CAC02801,SCOTT RINGENBERG - NOT REGISTERED,ELKHORN SCHOOL BOARD,ELKHORN,NE,68022,C,Candidate Committee,9999-01-12,,,2021-01-18 13:22:58.117,
100,71194,21CAC02803,JENNIFER SHATEL - NOT REGISTERED,ELKHORN SCHOOL BOARD,PAPILLION,NE,68046,C,Candidate Committee,9999-01-12,,,2021-01-18 13:22:58.117,2021-01-25 13:23:54.743
101,71195,21CAC02804,TIFFANY CARTER - NOT REGISTERED,MILLARD SCHOOL BOARD,OMAHA,NE,68137,C,Candidate Committee,9999-01-12,,,2021-01-18 13:22:58.117,2021-01-25 13:23:54.743
102,71196,21CAC02805,JACOB CAMPBELL - NOT REGISTERED,STATE LEGISLATURE,LINCOLN,NE,68508,C,Candidate Committee,9999-01-13,,,2021-01-18 13:22:58.117,2021-08-09 09:31:24.980
103,71197,21CAC02806,THE PEOPLE FOR DAVID MITCHELL,12411 W CENTER ROAD #106,Omaha,NE,68144,C,Candidate Committee,2021-01-13,21FIS15286,,2021-01-18 13:22:58.117,
104,71198,21CAC02807,FRIENDS FOR KIMARA SNIPES,5415 S 30 STREET,OMAHA,NE,68107,C,Candidate Committee,2021-01-15,,,2021-01-18 13:22:58.117,
105,71371,21CAC02808,AUSTIN FOR CITY COUNCIL,301 S 13TH STREET,LINCOLN,NE,68508,C,Candidate Committee,2021-01-19,11FIS12178,,2021-01-25 13:22:31.893,
106,50078,99PPC00043,SARPY COUNTY REPUBLICAN PARTY,POB 460903,PAPILLION,NE,68046,T,Political Party Committee,1977-08-29,,,,2021-08-09 09:31:24.980
107,50079,99PPC00044,SAUNDERS COUNTY DEMOCRATIC PARTY,"240 East 2nd Street,",WAHOO,NE,68066,T,Political Party Committee,1977-08-02,,,,2021-08-09 09:31:24.980
108,50080,99PPC00045,SAUNDERS COUNTY REPUBLICAN CENTRAL COMMITTEE (DISS,"2134 COUNTY ROAD 7,",YUTAN,NE,68073,T,Political Party Committee,1978-04-07,,,,2021-08-09 09:31:24.980
109,50081,99PPC00046,SCOTTS BLUFF COUNTY REPUBLICAN CENTRAL COMMITTEE,PO BOX 483,SCOTTSBLUFF,NE,69363,T,Political Party Committee,1978-04-07,,,,2021-08-09 09:31:24.980
110,50082,99PPC00047,WASHINGTON COUNTY DEMOCRATIC PARTY,"1031 N. 28th Street,",BLAIR,NE,68008,T,Political Party Committee,1977-08-03,,,,2021-08-09 09:31:24.980
111,50083,99PPC00049,YORK COUNTY REPUBLICANS,"1504 Michigan Avenue,",YORK,NE,68467,T,Political Party Committee,1977-12-09,,,,
112,50084,99PPC00051,WASHINGTON COUNTY REPUBLICAN PARTY,1219 SOUTH ST,BLAIR,NE,68008,T,Political Party Committee,1977-08-26,,,,2021-08-09 09:31:24.980
113,50085,99PPC00052,STATE SENATOR PAY RAISE,128 ANYWHERE,LINCOLN,NE,68521, ,,1990-01-01,,,,2021-08-09 09:31:24.980
114,50086,99PPC00055,LANCASTER COUNTY DEMOCRATS,P O BOX 83213,LINCOLN,NE,68501,T,Political Party Committee,1978-04-05,,,,2021-08-09 09:31:24.980
115,50087,99PPC00057,NEBRASKA YOUNG DEMOCRATS,3710 O STREET STE 200,LINCOLN,NE,68510,T,Political Party Committee,2004-04-14,,,,2021-08-09 09:31:24.980
116,69866,20CAC02750,TOM BECKIUS FOR CITY COUNCIL,2255 ROKEBY ROAD,LINCOLN,NE,68512,C,Candidate Committee,2020-09-11,16FIS13788,,2020-09-21 17:05:49.990,
117,69867,20CAC02751,RURAL NEBRASKANS FOR BARRY DEKAY,51228 896TH ROAD,NIOBRARA,NE,68760,C,Candidate Committee,2020-09-11,13FIS12778,,2020-09-21 17:05:49.990,
118,69869,20CAC02752,FRIENDS OF CRAIG MOODY OMAHA CITY COUNCIL,510 S 57TH STREET,OMAHA,NE,68106,C,Candidate Committee,2020-08-26,16FIS13501,,2020-09-28 17:08:51.190,
119,70438,20CAC02769,MARK J DORCEY FOR DAKOTA COUNTY COMMISSIONER,2121 MAPLE STREET,DAKOTA CITY,NE,68731,C,Candidate Committee,2020-10-23,99FIS02016,,2020-10-26 14:01:24.317,
120,70439,20CAC02770,AMANDA ROE FOR ASHLAND CITY COUNCIL (NR),208 N. 13TH STREET,ASHLAND,NE,68003,C,Candidate Committee,1900-01-01,,,2020-10-26 14:01:24.317,2021-08-09 09:31:24.980
121,70440,20CAC02771,GUADALUPE MARINO SCHUYLER SCHOOL BOARD (NR),NOT REGISTERED,OMAHA,NE,68114,C,Candidate Committee,1900-01-01,,,2020-10-26 14:01:24.317,2021-08-09 09:31:24.980
122,70441,20CAC02772,KIMBERLY SHANAHAN CEDAR BLUFF BOARD TRUSTEES (NR),NOT REGISTERED,OMAHA,NE,68114,C,Candidate Committee,1900-01-01,,,2020-10-26 14:01:24.317,2021-08-09 09:31:24.980
123,70442,20CAC02773,KIM TELPOEL EAST BUTLER SCHOOL BOARD (NR),NOT REGISTERED,OMAHA,NE,68114,C,Candidate Committee,1900-01-01,,,2020-10-26 14:01:24.317,2021-08-09 09:31:24.980
124,70443,20CAC02774,PAMELA MURPHY FREMONT BOARD OF ED (NR),NOT REGISTERED,OMAHA,NE,68114,C,Candidate Committee,1900-01-01,,,2020-10-26 14:01:24.317,2021-08-09 09:31:24.980
125,70444,20CAC02775,RENE FEILMEIER WAHOO PUBLIC SCHOOLS (NR),NOT REGISTERED,OMAHA,NE,68114,C,Candidate Committee,1900-01-01,,,2020-10-26 14:01:24.317,2021-08-09 09:31:24.980
126,70445,20CAC02776,ROBIN SIMANEK MORSE BLUFF TRUSTEE,NOT REGISTERED,OMAHA,NE,68114,C,Candidate Committee,0900-01-01,,,2020-10-26 14:01:24.317,2021-08-09 09:31:24.980
127,70446,20CAC02778,BEVERLY BARTAK VALPARAISO TRUSTEE,NOT REGISTERED,VALPARAISO,NE,68065,C,Candidate Committee,1900-01-01,,,2020-10-26 14:01:24.317,2021-08-09 09:31:24.980
128,70447,20CAC02779,LOUISE NABB ESU #2,NOT REGISTERED,FREMONT,NE,68025,C,Candidate Committee,1900-01-01,,,2020-10-26 14:01:24.317,2021-08-09 09:31:24.980
129,70515,20IRC00548,NEBRASKANS AGAINST CORRUPTION,405 E LEONA AVENUE,PETERSBURG,NE,68652,R,Independent Reporting Committee,2020-10-20,,,2020-10-26 14:01:24.317,
130,70518,20BQC00506,LNK RECALL,6541 S. 59TH PLACE,LINCOLN,NE,68516,B,Ballot Question,2020-10-27,,,2020-11-02 13:36:29.137,
131,70519,20CAC02780,ERNIE CHAMBERS FOR DOUGLAS COUNTY BOARD - NR,NOT REGISTERED,OMAHA,NE,68114,C,Candidate Committee,1900-01-01,,,2020-11-02 13:36:29.137,2021-08-09 09:31:24.980
132,70619,20PPC00082,ADAMS COUNTY REPUBLICANS,POB 692,HASTINGS,NE,68902,T,Political Party Committee,2021-10-06,,,2020-11-02 13:36:29.137,2021-10-11 09:43:01.337
133,70936,20CAC02781,HERBSTER FOR NEBRASKA,6332 S 118TH STREET,OMAHA,NE,68137,C,Candidate Committee,2020-11-06,13FIS12693,,2020-11-09 13:15:32.493,2021-01-25 13:23:54.743
134,70946,20IRC00549,NEBRASKANS FOR TAX RELIEF (NOT REGISTERED),NOT REGISTERED,LINCOLN,NE,68516,R,Independent Reporting Committee,1900-01-01,,,2020-11-09 13:15:32.493,2021-08-09 09:31:24.980
135,70968,20BQC00507,DECLINE TO SIGN,3039 STATFORD AVENUE,LINCOLN,NE,68502,B,Ballot Question,2020-11-12,,,2020-11-16 14:14:26.760,
136,71050,20IRC00550,ERNIE CHAMBERS WRITE IN CAMPAIGN,PO BOX 11542,OMAHA,NE,68111,R,Independent Reporting Committee,2020-11-12,99FIS03076,,2020-11-16 14:14:26.760,
137,71061,20CAC02782,OLSSON FOR LINCOLN AIRPORT AUTHORITY,3155 TIHEN CIRCLE,LINCOLN,NE,68502,C,Candidate Committee,2021-01-19,21FIS15293,,2020-12-14 13:19:01.160,2021-03-08 08:28:18.620
138,71070,20CAC02783,DON ROWE FOR OMAHA,15077 SHARP STREET,OMAHA,NE,68137,C,Candidate Committee,2020-12-16,20FIS15279,,2020-12-21 13:21:16.467,2021-01-25 13:23:54.743
139,71071,20CAC02784,COLLEEN BRENNAN FOR OMAHA COMMITTEE,15418 WEIR STREET #234,OMAHA,NE,68137,C,Candidate Committee,2020-12-15,20FIS15278,,2020-12-21 13:21:16.467,2021-02-01 13:32:19.600
140,71076,20PAC00196,WOMEN WHO RUN NEBRASKA PAC,3311 WALNUT STREET,OMAHA,NE,68102,S,Separate Segregated Political Fund Committee,2020-12-14,,,2020-12-21 13:21:16.467,
