,RecipientEntityKey,RecipientEntityID,EntityPrefix,EntityType,RecipientName,IsNotRegistered,DoNotUse,IsDissolved,FullName,LastName,FirstName,MiddleInitial,RecipientAddress,RecipientCity,RecipientState,RecipientZip,IsContributingEntity,IsRecipientEntity,SupportCandidateEntityKey,IsCurrentExecutiveBranch,ContributorTypeGroup,ContributorTypeGroupDesc
33,34,05CAC00742,CAC,Candidate Committee,LAWRENCE W.BRADLEY BOARD OF REGENTS CAMPAIGN -2006,,,,,,,,6068 COUNTRY CLUB OAKS PLACE,OMAHA,NE,68152,,1,514,False,PCB,"Party, Candidate or Ballot Question Commitee"
34,35,05CAC00743,CAC,Candidate Committee,TIM GAY FOR LEGISLATURE,,,,,,,,"804 LEXINGTON LANE, BOX 460922",PAPILLION,NE,68046,1.0,1,46251,False,PCB,"Party, Candidate or Ballot Question Commitee"
35,36,05CAC00744,CAC,Candidate Committee,CONRAD FOR LEGISLATURE,,,1.0,,,,,3818 DUDLEY STREET,LINCOLN,NE,68503,1.0,1,541,False,PCB,"Party, Candidate or Ballot Question Commitee"
36,37,05CAC00745,CAC,Candidate Committee,KASCHKE FOR LEGISLATURE (NOW KASCHKE FOR MAYOR),,,,,,,,414 N. ALLEN AVE,NORTH PLATTE,NE,69101,,1,543,False,PCB,"Party, Candidate or Ballot Question Commitee"
37,38,05CAC00746,CAC,Candidate Committee,COMMITTEE TO ELECT KERRY WINTERER,,,,,,,,P.O. BOX 121,BOYS TOWN,NE,68010,1.0,1,544,False,PCB,"Party, Candidate or Ballot Question Commitee"
38,39,05CAC00747,CAC,Candidate Committee,LATHROP FOR LEGISLATURE,,,1.0,,,,,11818 OAKAIR PLAZA,OMAHA,NE,68137,1.0,1,545,False,PCB,"Party, Candidate or Ballot Question Commitee"
39,40,05CAC00748,CAC,Candidate Committee,RONALD A. RUFF FOR LEGISLATURE,,,1.0,,,,,"101 SOUTH CHESTNUT, P.O. BOX 1269",NORTH PLATTE,NE,69103,,1,519,False,PCB,"Party, Candidate or Ballot Question Commitee"
40,41,05CAC00755,CAC,Candidate Committee,ASHFORD FOR LEGISLATURE,,,1.0,,,,,7926 SHIRLEY ST,OMAHA,NE,68124,1.0,1,44521,False,PCB,"Party, Candidate or Ballot Question Commitee"
41,42,05CAC00756,CAC,Candidate Committee,BELLEVUE CITIZENS FOR BLOOD,,,,,,,,2812 JACK PINE STREET,BELLEVUE,NE,68123,,1,557,False,PCB,"Party, Candidate or Ballot Question Commitee"
42,43,05CAC00757,CAC,Candidate Committee,WIGHTMAN FOR LEGISLATURE,,,1.0,,,,,PO BOX 100,LEXINGTON,NE,68850,1.0,1,558,False,PCB,"Party, Candidate or Ballot Question Commitee"
43,44,05CAC00758,CAC,Candidate Committee,SORRENTINO FOR LEGISLATURE,,,,,,,,13295 CUMING STREET,OMAHA,NE,68154,,1,559,False,PCB,"Party, Candidate or Ballot Question Commitee"
44,45,05CAC00759,CAC,Candidate Committee,DENDINGER FOR LEGISLATURE COMMITTEE,,,,,,,,1025 SOUTH 117TH CIRCLE,OMAHA,NE,68154,,1,538,False,PCB,"Party, Candidate or Ballot Question Commitee"
45,46,05CAC00760,CAC,Candidate Committee,KENT ROGERT FOR LEGISLATURE,,,,,,,,242 S 13TH STREET,TEKAMAH,NE,68061,1.0,1,564,False,PCB,"Party, Candidate or Ballot Question Commitee"
46,47,05CAC00761,CAC,Candidate Committee,DAVID HAHN FOR GOVERNOR,,,,,,,,P. O. BOX 83672,LINCOLN,NE,68501,,1,566,False,PCB,"Party, Candidate or Ballot Question Commitee"
47,48,05CAC00762,CAC,Candidate Committee,MARK CHRISTENSEN FOR LEGISLATURE,,,,,,,,139 YUCCA DR,IMPERIAL,NE,69033,1.0,1,526,False,PCB,"Party, Candidate or Ballot Question Commitee"
48,49,05CAC00763,CAC,Candidate Committee,HANSEN FOR LEGISLATURE 42 (2010),,,,,,,,P.O. BOX 844,NORTH PLATTE,NE,69103,1.0,1,48769,False,PCB,"Party, Candidate or Ballot Question Commitee"
49,50,05CAC00764,CAC,Candidate Committee,FRIENDS FOR LYNNE ANDERSON,,,1.0,,,,,6626 CUMING ST,OMAHA,NE,68132,1.0,1,568,False,PCB,"Party, Candidate or Ballot Question Commitee"
50,582,05IRC00454,IRC,Independent Reporting Committee,COMMITTEE FOR JOBS AND ECONOMIC EXPANSION,,,1.0,,,,,8231 BEECHWOOD DRIVE,LINCOLN,NE,68510,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
51,583,05IRC00456,IRC,Independent Reporting Committee,CITIZEN ADVOCATES FOR SCHOLASTIC EXCELLENCE,,,,,,,,"500 ENERGY PLAZA, 409 SOUTH 17TH STREET",OMAHA,NE,68102-2663,1.0,1,-10,False,BLO,"Business, Corporation or Labor Union"
52,584,05PAC00143,PAC,Political Action Committee,LOCAL UNION 1140 PAC FUND,,,,,,,,5626 SORENSEN PARKWAY,OMAHA,NE,68152,1.0,1,-10,False,PAC,Political Action Committee
53,585,05PAC00144,PAC,Political Action Committee,NE LAND TITLE ASSOCIATION PAC,,,,,,,,PO BOX 85362,LINCOLN,NE,68501,1.0,1,-10,False,PAC,Political Action Committee
54,586,05PAC00146,PAC,Political Action Committee,NE RESEARCH PAC,,,,,,,,1041 H STREET SUITE B,LINCOLN,NE,68508,1.0,1,-10,False,PAC,Political Action Committee
55,587,05PAC00147,PAC,Political Action Committee,NATIONAL FED. OF INDEPENDENT BUS./NE SAFE TRUST,,,,,,,,555 12TH ST. NW #1001,WASHINGTON,DC,20004,1.0,1,-10,False,PAC,Political Action Committee
56,588,06BQC00120,BQC,Ballot Question Committee,AMES ECONOMIC DEVELOPMENT COMMISSION,1.0,,,,,,,N/A,ZIP NOT VALID,NE,68000,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
57,589,06BQC00121,BQC,Ballot Question Committee,COMMITTEE FOR KIDS AND A POSITIVE FUTURE,,,1.0,,,,,320 WASHINGTON STREET,PONCA,NE,68770,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
58,590,06BQC00122,BQC,Ballot Question Committee,NEBRASKANS FOR VIDEO KENO,,,,,,,,11248 JOHN GALT BLVD,OMAHA,NE,68137,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
59,591,06BQC00123,BQC,Ballot Question Committee,COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE,,,1.0,,,,,1201 &#39;O&#39; STREET SUITE 201,LINCOLN,NE,68508,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
60,592,06BQC00125,BQC,Ballot Question Committee,"COMMITTEE FOR OUR KIDS, SCHOOL AND COMMUNITY",1.0,,,,,,,N/A,ZIP NOT VALID,NE,68500,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
61,595,06BQC00128,BQC,Ballot Question Committee,CITIZENS FOR QUALITY PARKS AND TRAILS,,,,,,,,340 S 40TH STREET,LINCOLN,NE,68510,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
62,597,06BQC00130,BQC,Ballot Question Committee,LOGAN VIEW EDUCATIONAL BOOSTERS,1.0,,,,,,,NOT A REGISTERED COMMITTEE,HOOPER,NE,68031,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
63,598,06BQC00131,BQC,Ballot Question Committee,NEBRASKANS FOR LOCAL COMMUNITY AND TRIBAL SELF-REL,,,,,,,,"17445 ARBOR STREET, SUITE 300",OMAHA,NE,68130,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
64,599,06BQC00132,BQC,Ballot Question Committee,CITIZENS FOR LEXINGTON SCHOOLS,,,,,,,,400 APACHE DRIVE,LEXINGTON,NE,68850,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
65,601,06BQC00134,BQC,Ballot Question Committee,BROWN COUNTY HOSPITAL IMPROVEMENT FUND,,,1.0,,,,,PO BOX 93,AINSWORTH,NE,69210,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
66,602,06BQC00135,BQC,Ballot Question Committee,STOP OVER SPENDING NEBRASKA,,,1.0,,,,,3641 NORTH HWY 83,NORTH PLATTE,NE,69101,1.0,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
67,603,06BQC00136,BQC,Ballot Question Committee,NEBRASKANS FOR HUMANE CARE COMMITTEE,,,1.0,,,,,422 S 153RD CIRCLE,OMAHA,NE,68154,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
68,605,06BQC00138,BQC,Ballot Question Committee,NEBRASKANS FOR THE GOOD LIFE,,,,,,,,605 SOUTH 14TH ST SUITE 200,LINCOLN,NE,68508,1.0,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
69,606,06BQC00139,BQC,Ballot Question Committee,COMMITTEE FOR STATE STEWARDSHIP,,,,,,,,"9140 WEST DODGE RD, SUITE 100",OMAHA,NE,68114,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
70,607,06BQC00140,BQC,Ballot Question Committee,FAMILIES FOR AMENDMENT 5,,,1.0,,,,,"1125 S. 103RD ST. #2, PO BOX 80555",LINCOLN,NE,68501,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
71,609,06BQC00142,BQC,Ballot Question Committee,NEBRASKANS FOR AMENDMENT #2 COMMITTEE,,,1.0,,,,,6548 ROLLING HILLS COURT,LINCOLN,NE,68512,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
72,610,06BQC00143,BQC,Ballot Question Committee,BUILDING A BETTER NEBRASKA WITH AMENDMENT 1 COMMIT,,,,,,,,233 SOUTH 13TH ST STE 800-F,LINCOLN,NE,68508,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
73,611,06BQC00144,BQC,Ballot Question Committee,FARMERS AND RANCHERS FOR TAX FAIRNESS (2006),,,,,,,,145 MAIN ST,LYONS,NE,68038,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
74,612,06BQC00145,BQC,Ballot Question Committee,NE TAXPAYERS AGAINST 423,,,1.0,,,,,1320 LINCOLN MALL #201,LINCOLN,NE,68509,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
75,613,06BQC00146,BQC,Ballot Question Committee,STOP INITIATIVE 423,,,,,,,,3724 LINCOLN BLVD,OMAHA,NE,68131,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
76,614,06CAC00765,CAC,Candidate Committee,BROWN FOR LEGISLATURE,,,1.0,,,,,2201 ELBA CIRCLE,LINCOLN,NE,68521,,1,518,False,PCB,"Party, Candidate or Ballot Question Commitee"
77,615,06CAC00766,CAC,Candidate Committee,STOTHERT FOR LEGISLATURE (2006),,,1.0,,,,,5909 S. 118TH PLAZA,OMAHA,NE,68137,1.0,1,16680,False,PCB,"Party, Candidate or Ballot Question Commitee"
78,616,06CAC00767,CAC,Candidate Committee,JOHN N. HARMS FOR LEGISLATURE,,,,,,,,1918 E. 28TH STREET,SCOTTSBLUFF,NE,69361,1.0,1,555,False,PCB,"Party, Candidate or Ballot Question Commitee"
79,617,06CAC00768,CAC,Candidate Committee,PANKONIN FOR LEGISLATURE,,,,,,,,P.O. BOX 106,LOUISVILLE,NE,68037,,1,569,False,PCB,"Party, Candidate or Ballot Question Commitee"
80,618,06CAC00769,CAC,Candidate Committee,TIDYMAN FOR 44,,,,,,,,611 NORRIS AVE #10,MCCOOK,NE,69001,,1,539,False,PCB,"Party, Candidate or Ballot Question Commitee"
81,619,06CAC00770,CAC,Candidate Committee,PAUL GRAHAM FOR SHERIFF,,,1.0,,,,,714 K STREET,AURORA,NE,68818,,1,5451,False,PCB,"Party, Candidate or Ballot Question Commitee"
82,620,06CAC00771,CAC,Candidate Committee,RUSS KARPISEK FOR LEGISLATURE- DISTRICT #32,,,,,,,,321 S MAIN STREET PO BOX 905,WILBER,NE,68465,1.0,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
83,621,06CAC00772,CAC,Candidate Committee,NEBRASKANS FOR SHOEMAKER,,,1.0,,,,,210 NORRIS AVENUE,MCCOOK,NE,69001,,1,4982,False,PCB,"Party, Candidate or Ballot Question Commitee"
84,622,06CAC00777,CAC,Candidate Committee,ANGUS GAREY FOR LEGISLATION,,,1.0,,,,,PO BOX 605,MCCOOK,NE,69001,,1,4964,False,PCB,"Party, Candidate or Ballot Question Commitee"
85,623,06CAC00783,CAC,Candidate Committee,CAROL CASEY FOR LEGISLATURE,,,,,,,,2506 S. 105 AVE,OMAHA,NE,68124,1.0,1,554,False,PCB,"Party, Candidate or Ballot Question Commitee"
86,624,06CAC00784,CAC,Candidate Committee,FRIENDS FOR BARB VELINSKY,,,1.0,,,,,15221 CEDAR CIRCLE,OMAHA,NE,68144,,1,4983,False,PCB,"Party, Candidate or Ballot Question Commitee"
87,625,06CAC00785,CAC,Candidate Committee,STEVE HESPEN FOR SHERIFF COMMITTEE,,,,,,,,2150 ROSEDALE ROAD,FREMONT,NE,68025,,1,5093,False,PCB,"Party, Candidate or Ballot Question Commitee"
88,626,06CAC00786,CAC,Candidate Committee,GENE KELLY FOR REGENTS,,,,,,,,1105 ROUSSEAU CT,PAPILLION,NE,68046,,1,5018,False,PCB,"Party, Candidate or Ballot Question Commitee"
89,627,06CAC00787,CAC,Candidate Committee,SCHLOTHAUER FOR LEGISLATURE,,,,,,,,2320 17TH ST,GERING,NE,69341,,1,549,False,PCB,"Party, Candidate or Ballot Question Commitee"
90,628,06CAC00788,CAC,Candidate Committee,CHARLES S CRIVELLARO FOR CITY COUNCIL,1.0,,,,,,,N/A,ARLINGTON,NE,68002,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
91,629,06CAC00789,CAC,Candidate Committee,THE COMMITTEE TO RE-ELECT REGENT BOB WHITEHOUSE,,,,,,,,1015 E. CARY STREET,PAPILLION,NE,68046-0000,,1,48322,False,PCB,"Party, Candidate or Ballot Question Commitee"
92,630,06CAC00794,CAC,Candidate Committee,PAT HUNTER SAUNDERS COUNTY TREASURER,1.0,,,,,,,,WAHOO,NE,68066,,1,-10,False,PCB,"Party, Candidate or Ballot Question Commitee"
93,631,06CAC00795,CAC,Candidate Committee,KEVIN STUKENHOLTZ SAUNDERS COUNTY SHERIFF,,,,,,,,755 NORTH WALNUT,WAHOO,NE,68066,,1,48147,False,PCB,"Party, Candidate or Ballot Question Commitee"
94,632,06CAC00796,CAC,Candidate Committee,CURT FRIESEN FOR LEGISLATURE,,,1.0,,,,,1040 NORTH MAIN ST PO BOX 165,HENDERSON,NE,68371,,1,546,False,PCB,"Party, Candidate or Ballot Question Commitee"
95,633,06CAC00797,CAC,Candidate Committee,COMMITTEE TO ELECT JOHN EWING,,,,,,,,13516 BURT STREET,OMAHA,NE,68154,1.0,1,5600,False,PCB,"Party, Candidate or Ballot Question Commitee"
96,634,06CAC00798,CAC,Candidate Committee,JARECKE FOR LEGISLATURE,,,,,,,,53836 SOUTH 320TH AVE,FULLERTON,NE,68638,,1,45109,False,PCB,"Party, Candidate or Ballot Question Commitee"
97,635,06CAC00799,CAC,Candidate Committee,SENKBILE FOR LEGISLATURE COMMITTEE,,,,,,,,1425 M ROAD,CENTRAL CITY,NE,68826,,1,4996,False,PCB,"Party, Candidate or Ballot Question Commitee"
98,636,06CAC00800,CAC,Candidate Committee,JERRY BROWN FOR SHERIFF COMMITTEE,,,,,,,,111 FENWICK CIRCLE,PAPILLION,NE,68046,,1,5142,False,PCB,"Party, Candidate or Ballot Question Commitee"
99,637,06CAC00801,CAC,Candidate Committee,BOND FOR LEGISLATURE,,,,,,,,"12181 'A' STREET, PO BOX 707",AVOCA,NE,68307,,1,49285,False,PCB,"Party, Candidate or Ballot Question Commitee"
100,638,06CAC00802,CAC,Candidate Committee,COMMITTEE TO ELECT TOM BARRETT,,,1.0,,,,,PO BOX 31641,OMAHA,NE,68131,1.0,1,47293,False,PCB,"Party, Candidate or Ballot Question Commitee"
101,639,06CAC00803,CAC,Candidate Committee,COMMITTEE TO ELECT STEVE GUITTAR,,,,,,,,2649 N 48TH SUITE B,LINCOLN,NE,68504,,1,5091,False,PCB,"Party, Candidate or Ballot Question Commitee"
102,640,06CAC00805,CAC,Candidate Committee,COMSTOCK FOR LEGISLATURE,,,,,,,,5021 NICHOLAS ST,OMAHA,NE,68132,,1,5329,False,PCB,"Party, Candidate or Ballot Question Commitee"
103,641,06CAC00806,CAC,Candidate Committee,FRAZIER FOR LEGISLATURE COMMITTEE,,,1.0,,,,,318 N 129TH,OMAHA,NE,68154,,1,5159,False,PCB,"Party, Candidate or Ballot Question Commitee"
104,642,06CAC00807,CAC,Candidate Committee,NEBRASKANS FOR MCGILL,,,1.0,,,,,930 MAHONEY DR.,LINCOLN,NE,68504,1.0,1,5286,False,PCB,"Party, Candidate or Ballot Question Commitee"
105,643,06CAC00809,CAC,Candidate Committee,WOOD FOR TREASURER,,,,,,,,1814 D STREET,COZAD,NE,69130,,1,43467,False,PCB,"Party, Candidate or Ballot Question Commitee"
106,644,06CAC00810,CAC,Candidate Committee,FRIENDS OF GAGE COUNTY ATTORNEY RICHARD T SMITH,,,1.0,,,,,1507 CRESTVIEW AVE,BEATRICE,NE,68310,,1,44410,False,PCB,"Party, Candidate or Ballot Question Commitee"
107,645,06CAC00811,CAC,Candidate Committee,TAMKE FOR SHERIFF COMMITTEE,,,1.0,,,,,2195 N BROAD STREET,FREMONT,NE,68025,,1,4962,False,PCB,"Party, Candidate or Ballot Question Commitee"
108,646,06CAC00812,CAC,Candidate Committee,SWANSON FOR LEGISLATURE,,,1.0,,,,,3353 WOODS AVE,LINCOLN,NE,68510,1.0,1,5305,False,PCB,"Party, Candidate or Ballot Question Commitee"
109,647,06CAC00814,CAC,Candidate Committee,COMMITTEE TO ELECT MARLAN MILLARD,,,,,,,,NA,LINCOLN,NE,68508,,1,49613,False,PCB,"Party, Candidate or Ballot Question Commitee"
110,648,06CAC00815,CAC,Candidate Committee,COMMITTEE TO ELECT LOUIS WURTELE,1.0,,,,,,,NA,ZIP NOT VALID,NE,00000,,1,5023,False,PCB,"Party, Candidate or Ballot Question Commitee"
111,649,06CAC00816,CAC,Candidate Committee,RENAE ROWE FOR TREASURER COMMITTEE,,,1.0,,,,,75560 HWY 21,COZAD,NE,69130,,1,5011,False,PCB,"Party, Candidate or Ballot Question Commitee"
112,650,06CAC00817,CAC,Candidate Committee,FRIEND FOR CLERK OF THE DISTRICT COURT,,,,,,,,1730 N 162ND ST,OMAHA,NE,68118,1.0,1,5060,False,PCB,"Party, Candidate or Ballot Question Commitee"
113,651,06CAC00818,CAC,Candidate Committee,TRISH LANPHIER FOR DOUGLAS CLERK OF THE DIST.COURT,,,,,,,,1311 TURNER BLVD,OMAHA,NE,68105,,1,5094,False,PCB,"Party, Candidate or Ballot Question Commitee"
114,652,06CAC00819,CAC,Candidate Committee,COMMITTEE TO ELECT MARGARET HORNADY MAYOR,,,1.0,,,,,"PO BOX 5168, 810 ALLEN DRIVE",GRAND ISLAND,NE,68802,,1,48580,False,PCB,"Party, Candidate or Ballot Question Commitee"
115,653,06CAC00820,CAC,Candidate Committee,DECAMP FOR LEGISLATURE,,,1.0,,,,,220 WASHINGTON PO BOX 7,CLATONIA,NE,68328,,1,44526,False,PCB,"Party, Candidate or Ballot Question Commitee"
116,654,06CAC00821,CAC,Candidate Committee,KOWAL FOR DOUGLAS COUNTY ASSESSOR,,,1.0,,,,,137 SOUTH 93RD AVENUE,OMAHA,NE,68114,,1,5175,False,PCB,"Party, Candidate or Ballot Question Commitee"
117,655,06CAC00824,CAC,Candidate Committee,CONNEALY FOR PSC,,,,,,,,2999 OLD HWY 118,DECATUR,NE,68020,,1,43350,False,PCB,"Party, Candidate or Ballot Question Commitee"
118,656,06CAC00825,CAC,Candidate Committee,COMMITTEE TO ELECT DAN MCGOVERN SHERIFF,,,1.0,,,,,3514 SOUTH 119TH STREET,OMAHA,NE,68144,,1,5302,False,PCB,"Party, Candidate or Ballot Question Commitee"
