,EntityKey,CommitteeID,CommitteeName,CommitteeAddress,CommitteeCity,CommitteeState,CommitteeZip,CommitteeType,CommitteeTypeDesc,MostRecentOrganizationDate,MostRecentSupportCandidateId,MostRecentOpposeCandidateId,InsertDate,UpdateDate
18,19,05CAC00727,TOM OSBORNE FOR GOVERNOR,525 SOUTH 13TH STREET,LINCOLN,NE,68508,C,Candidate Committee,2005-05-20,05FIS09998,,2021-10-24 14:13:22.607,
19,20,05CAC00728,KLEINE FOR DOUGLAS COUNTY ATTORNEY,15471 STEVENS PLAZA,OMAHA,NE,68137,C,Candidate Committee,2005-05-23,99FIS09704,,2021-10-24 14:13:22.607,
20,21,05CAC00729,GREG ADAMS FOR LEGISLATURE (DISSOLVED),306 E. 7TH STREET,YORK,NE,68467,C,Candidate Committee,2005-06-13,05FIS10026,,2021-10-24 14:13:22.607,
21,22,05CAC00730,COMMITTEE TO RETAIN JEFFREY L. DAVIS FOR SHERIFF,13705 S 41ST STREET,BELLEVUE,NE,68123,C,Candidate Committee,2005-06-14,05FIS10020,,2021-10-24 14:13:22.607,
22,23,05CAC00731,LEADERSHIP NEBRASKA,219 NORTH BROWN AVE,MINDEN,NE,68959,C,Candidate Committee,2005-06-17,,,2021-10-24 14:13:22.607,
23,24,05CAC00732,NAGENGAST FOR REGENT (DISSOLVED),5626 DECATUR STREET,OMAHA,NE,68104,C,Candidate Committee,2005-07-05,05FIS10025,,2021-10-24 14:13:22.607,
24,25,05CAC00733,TOM CARLSON FOR LEGISLATURE (DISSOLVED),1112 BROWN ST,HOLDREGE,NE,68949,C,Candidate Committee,2005-07-26,05FIS10031,,2021-10-24 14:13:22.607,
25,26,05CAC00734,ROSS FOR STATE TREASURER,6649 FLINT RIDGE ROAD,LINCOLN,NE,68506,C,Candidate Committee,2005-08-05,99FIS07607,,2021-10-24 14:13:22.607,
26,27,05CAC00735,DUBAS FOR LEGISLATURE (DISSOLVED),54906 N 180TH AVE; RR 1 BOX 42,FULLERTON,NE,68638,C,Candidate Committee,2005-09-09,05FIS10037,,2021-10-24 14:13:22.607,
27,28,05CAC00736,MCCLURG FOR REGENT,2030 SURFSIDE DRIVE,LINCOLN,NE,68528,C,Candidate Committee,2005-09-15,99FIS04375,,2021-10-24 14:13:22.607,
28,29,05CAC00737,POORE FOR LEGISLATURE,3645 L STREET,LINCOLN,NE,68510,C,Candidate Committee,2005-09-15,05FIS10038,,2021-10-24 14:13:22.607,
29,30,05CAC00738,SHANE OSBORN FOR STATE TREASURER,PO BOX 83046,LINCOLN,NE,68501,C,Candidate Committee,2005-09-21,05FIS10039,,2021-10-24 14:13:22.607,
30,31,05CAC00739,WHITE FOR LEGISLATURE,2517 NORTH 55TH STREET,OMAHA,NE,68104,C,Candidate Committee,2005-09-30,05FIS10042,,2021-10-24 14:13:22.607,
31,32,05CAC00740,PETE PIRSCH FOR LEGISLATURE,2315 NELSON'S CREEK DRIVE,OMAHA,NE,68116,C,Candidate Committee,2005-10-06,99FIS09651,,2021-10-24 14:13:22.607,
32,33,05CAC00741,GARRISON FOR LEGISLATURE,"155 S. MAIN, BOX 1",NELSON,NE,68961,C,Candidate Committee,2005-10-21,05FIS09916,,2021-10-24 14:13:22.607,
33,34,05CAC00742,LAWRENCE W.BRADLEY BOARD OF REGENTS CAMPAIGN -2006,6068 COUNTRY CLUB OAKS PLACE,OMAHA,NE,68152,C,Candidate Committee,2005-10-25,05FIS10029,,2021-10-24 14:13:22.607,
34,35,05CAC00743,TIM GAY FOR LEGISLATURE,"804 LEXINGTON LANE, BOX 460922",PAPILLION,NE,68046,C,Candidate Committee,2005-10-26,99FIS05418,,2021-10-24 14:13:22.607,
35,36,05CAC00744,CONRAD FOR LEGISLATURE(DISSOLVED),3818 DUDLEY STREET,LINCOLN,NE,68503,C,Candidate Committee,2005-10-28,05FIS10057,,2021-10-24 14:13:22.607,
36,37,05CAC00745,KASCHKE FOR LEGISLATURE (NOW KASCHKE FOR MAYOR),414 N. ALLEN AVE,NORTH PLATTE,NE,69101,C,Candidate Committee,2005-10-31,05FIS10059,,2021-10-24 14:13:22.607,
37,38,05CAC00746,COMMITTEE TO ELECT KERRY WINTERER,P.O. BOX 121,BOYS TOWN,NE,68010,C,Candidate Committee,2005-11-02,05FIS10060,,2021-10-24 14:13:22.607,
38,39,05CAC00747,LATHROP FOR LEGISLATURE (DISSOLVED),11818 OAKAIR PLAZA,OMAHA,NE,68137,C,Candidate Committee,2005-11-03,05FIS10061,,2021-10-24 14:13:22.607,
39,40,05CAC00748,RONALD A. RUFF FOR LEGISLATURE (DISSOLVED),"101 SOUTH CHESTNUT, P.O. BOX 1269",NORTH PLATTE,NE,69103,C,Candidate Committee,2005-11-14,05FIS10034,,2021-10-24 14:13:22.607,
40,41,05CAC00755,ASHFORD FOR LEGISLATURE(DISSOVED),7926 SHIRLEY ST,OMAHA,NE,68124,C,Candidate Committee,2005-11-22,99FIS03072,,2021-10-24 14:13:22.607,
41,42,05CAC00756,BELLEVUE CITIZENS FOR BLOOD,2812 JACK PINE STREET,BELLEVUE,NE,68123,C,Candidate Committee,2005-11-22,05FIS10074,,2021-10-24 14:13:22.607,
42,43,05CAC00757,WIGHTMAN FOR LEGISLATURE (DISSOLVED),PO BOX 100,LEXINGTON,NE,68850,C,Candidate Committee,2000-11-23,05FIS10075,,2021-10-24 14:13:22.607,
43,44,05CAC00758,SORRENTINO FOR LEGISLATURE,13295 CUMING STREET,OMAHA,NE,68154,C,Candidate Committee,2005-11-30,05FIS10076,,2021-10-24 14:13:22.607,
44,45,05CAC00759,DENDINGER FOR LEGISLATURE COMMITTEE,1025 SOUTH 117TH CIRCLE,OMAHA,NE,68154,C,Candidate Committee,2005-11-30,05FIS10054,,2021-10-24 14:13:22.607,
45,46,05CAC00760,KENT ROGERT FOR LEGISLATURE,242 S 13TH STREET,TEKAMAH,NE,68061,C,Candidate Committee,2005-12-07,05FIS10081,,2021-10-24 14:13:22.607,
46,47,05CAC00761,DAVID HAHN FOR GOVERNOR,P. O. BOX 83672,LINCOLN,NE,68501,C,Candidate Committee,2005-12-08,05FIS10083,,2021-10-24 14:13:22.607,
47,48,05CAC00762,MARK CHRISTENSEN FOR LEGISLATURE,139 YUCCA DR,IMPERIAL,NE,69033,C,Candidate Committee,2005-12-19,05FIS10041,,2021-10-24 14:13:22.607,
48,49,05CAC00763,HANSEN FOR LEGISLATURE 42 (2010),P.O. BOX 844,NORTH PLATTE,NE,69103,C,Candidate Committee,2005-12-19,99FIS08549,,2021-10-24 14:13:22.607,
49,50,05CAC00764,FRIENDS FOR LYNNE ANDERSON (DISSOLVED),6626 CUMING ST,OMAHA,NE,68132,C,Candidate Committee,2005-12-23,05FIS10085,,2021-10-24 14:13:22.607,
50,581,05IRC00454,COMMITTEE FOR JOBS AND ECONOMIC EXPANSION (DISSOLV,8231 BEECHWOOD DRIVE,LINCOLN,NE,68510,I,Independent Reporting Committee,2005-04-28,,,2021-10-24 14:13:22.607,
51,582,05IRC00456,CITIZEN ADVOCATES FOR SCHOLASTIC EXCELLENCE,"500 ENERGY PLAZA, 409 SOUTH 17TH STREET",OMAHA,NE,68102-2663,R,Independent Reporting Committee,2005-12-30,,,2021-10-24 14:13:22.607,
52,583,05PAC00143,LOCAL UNION 1140 PAC FUND,5626 SORENSEN PARKWAY,OMAHA,NE,68152,S,Separate Segregated Political Fund Committee,2005-04-11,,,2021-10-24 14:13:22.607,
53,584,05PAC00144,NE LAND TITLE ASSOCIATION PAC,PO BOX 85362,LINCOLN,NE,68501,P,Political Action Committee,2005-04-25,,,2021-10-24 14:13:22.607,
54,585,05PAC00146,NE RESEARCH PAC,1041 H STREET SUITE B,LINCOLN,NE,68508,S,Separate Segregated Political Fund Committee,2005-07-15,,,2021-10-24 14:13:22.607,
55,586,05PAC00147,NATIONAL FED. OF INDEPENDENT BUS./NE SAFE TRUST,555 12TH ST. NW #1001,WASHINGTON,DC,20004,S,Separate Segregated Political Fund Committee,2005-09-20,,,2021-10-24 14:13:22.607,
56,587,06BQC00120,AMES ECONOMIC DEVELOPMENT COMMISSION (NR),,ZIP NOT VALID,NE,68000,B,Ballot Question,2006-02-01,,,2021-10-24 14:13:22.607,
57,588,06BQC00121,COMMITTEE FOR KIDS AND A POSITIVE FUTURE (DISSOLVE,320 WASHINGTON STREET,PONCA,NE,68770,B,Ballot Question,2006-02-03,,,2021-10-24 14:13:22.607,
58,589,06BQC00122,NEBRASKANS FOR VIDEO KENO,11248 JOHN GALT BLVD,OMAHA,NE,68137,B,Ballot Question,2006-02-13,,,2021-10-24 14:13:22.607,
59,590,06BQC00123,COMMITTEE FOR BETTER SCHOOLS AND MORE JOBS IN NE(D,1201 &#39;O&#39; STREET SUITE 201,LINCOLN,NE,68508,B,Ballot Question,2006-02-21,,,2021-10-24 14:13:22.607,
60,591,06BQC00125,"COMMITTEE FOR OUR KIDS, SCHOOL AND COMMUNITY (NR)",,ZIP NOT VALID,NE,68500,B,Ballot Question,2006-02-27,,,2021-10-24 14:13:22.607,
61,592,06BQC00126,COMMITTEE TO OPPOSE THE RETENTION OF JUSTICE MCCOR,3001 WEST RODEO RD,NORTH PLATTE,NE,69101,B,Ballot Question,2006-03-22,,,2021-10-24 14:13:22.607,
62,593,06BQC00127,COMMITTEE TO OPP THE RETENTION OF JUSTICE STEPHAN,3001 WEST RODEO RD,NORTH PLATTE,NE,69101,B,Ballot Question,2006-03-22,,,2021-10-24 14:13:22.607,
63,594,06BQC00128,CITIZENS FOR QUALITY PARKS AND TRAILS,340 S 40TH STREET,LINCOLN,NE,68510,B,Ballot Question,2006-03-24,,,2021-10-24 14:13:22.607,
64,595,06BQC00129,CITIZENS COMMITTEE 4R SCHOOLS (NOT REGISTERED),NOT A REGISTRERED COMMITTEE,AURORA,NE,68818,B,Ballot Question,2006-04-10,,,2021-10-24 14:13:22.607,
65,596,06BQC00130,LOGAN VIEW EDUCATIONAL BOOSTERS (NOT REGISTERED),NOT A REGISTERED COMMITTEE,HOOPER,NE,68031,B,Ballot Question,2006-04-10,,,2021-10-24 14:13:22.607,
66,597,06BQC00131,NEBRASKANS FOR LOCAL COMMUNITY AND TRIBAL SELF-REL,"17445 ARBOR STREET, SUITE 300",OMAHA,NE,68130,B,Ballot Question,2006-04-13,,,2021-10-24 14:13:22.607,
67,598,06BQC00132,CITIZENS FOR LEXINGTON SCHOOLS,400 APACHE DRIVE,LEXINGTON,NE,68850,B,Ballot Question,2006-04-18,,,2021-10-24 14:13:22.607,
68,599,06BQC00133,JET PATRONS FOR FUTURE EDUCATION (NOT REGISTERED),NOT A REGISTERED COMMITTEE,STERLING,NE,68443,B,Ballot Question,2006-04-10,,,2021-10-24 14:13:22.607,
69,600,06BQC00134,BROWN COUNTY HOSPITAL IMPROVEMENT FUND (DISSOLVED),PO BOX 93,AINSWORTH,NE,69210,B,Ballot Question,2006-05-10,,,2021-10-24 14:13:22.607,
70,601,06BQC00135,STOP OVER SPENDING NEBRASKA (DISSOLVED),3641 NORTH HWY 83,NORTH PLATTE,NE,69101,B,Ballot Question,2006-05-24,,,2021-10-24 14:13:22.607,
71,602,06BQC00136,NEBRASKANS FOR HUMANE CARE COMMITTEE (DISSOLVED),422 S 153RD CIRCLE,OMAHA,NE,68154,B,Ballot Question,2006-05-26,,,2021-10-24 14:13:22.607,
72,603,06BQC00137,APS FOR KIDS (NOT REGISTERED),NOT A REGISTERED COMMITTEE,ARLINGTON,NE,68002,B,Ballot Question,2006-06-19,,,2021-10-24 14:13:22.607,
73,604,06BQC00138,NEBRASKANS FOR THE GOOD LIFE,605 SOUTH 14TH ST SUITE 200,LINCOLN,NE,68508,B,Ballot Question,2006-06-19,,,2021-10-24 14:13:22.607,
74,605,06BQC00139,COMMITTEE FOR STATE STEWARDSHIP,"9140 WEST DODGE RD, SUITE 100",OMAHA,NE,68114,B,Ballot Question,2006-06-23,,,2021-10-24 14:13:22.607,
75,606,06BQC00140,FAMILIES FOR AMENDMENT 5 (DISSOLVED),"1125 S. 103RD ST. #2, PO BOX 80555",LINCOLN,NE,68501,B,Ballot Question,2006-07-28,,,2021-10-24 14:13:22.607,
76,607,06BQC00141,C-CARE (DISSOLVED),1604 N 40TH RD,AVOCA,NE,68307,B,Ballot Question,2006-08-02,,,2021-10-24 14:13:22.607,
77,608,06BQC00142,NEBRASKANS FOR AMENDMENT #2 COMMITTEE (DISSOLVED),6548 ROLLING HILLS COURT,LINCOLN,NE,68512,B,Ballot Question,2006-09-13,,,2021-10-24 14:13:22.607,
78,609,06BQC00143,BUILDING A BETTER NEBRASKA WITH AMENDMENT 1 COMMIT,233 SOUTH 13TH ST STE 800-F,LINCOLN,NE,68508,B,Ballot Question,2006-09-27,,,2021-10-24 14:13:22.607,
79,610,06BQC00144,FARMERS AND RANCHERS FOR TAX FAIRNESS (2006),145 MAIN ST,LYONS,NE,68038,B,Ballot Question,2006-10-06,,,2021-10-24 14:13:22.607,
80,611,06BQC00145,NE TAXPAYERS AGAINST 423 (DISSOLVED),1320 LINCOLN MALL #201,Lincoln,NE,68509,B,Ballot Question,2006-10-10,,,2021-10-24 14:13:22.607,
81,612,06BQC00146,STOP INITIATIVE 423,3724 LINCOLN BLVD,OMAHA,NE,68131,B,Ballot Question,2006-10-31,,,2021-10-24 14:13:22.607,
82,613,06CAC00765,BROWN FOR LEGISLATURE (DISSOLVED 2008),2201 ELBA CIRCLE,LINCOLN,NE,68521,C,Candidate Committee,2006-01-03,05FIS10033,,2021-10-24 14:13:22.607,
83,614,06CAC00766,STOTHERT FOR LEGISLATURE (2006) (DISSOLVED),5909 S. 118TH PLAZA,OMAHA,NE,68137,C,Candidate Committee,2006-01-03,13FIS12562,,2021-10-24 14:13:22.607,
84,615,06CAC00767,JOHN N. HARMS FOR LEGISLATURE,1918 E. 28TH STREET,SCOTTSBLUFF,NE,69361,C,Candidate Committee,2006-01-06,05FIS10072,,2021-10-24 14:13:22.607,
85,616,06CAC00768,PANKONIN FOR LEGISLATURE,P.O. BOX 106,LOUISVILLE,NE,68037,C,Candidate Committee,2006-01-06,05FIS10086,,2021-10-24 14:13:22.607,
86,617,06CAC00769,TIDYMAN FOR 44,611 NORRIS AVE #10,MCCOOK,NE,69001,C,Candidate Committee,2006-01-09,05FIS10055,,2021-10-24 14:13:22.607,
87,618,06CAC00770,PAUL GRAHAM FOR SHERIFF (DISSOLVED),714 K STREET,AURORA,NE,68818,C,Candidate Committee,2006-01-10,06FIS10619,,2021-10-24 14:13:22.607,
88,619,06CAC00771,RUSS KARPISEK FOR LEGISLATURE- DISTRICT #32,321 S MAIN STREET PO BOX 905,WILBER,NE,68465,C,Candidate Committee,2006-01-10,,,2021-10-24 14:13:22.607,
89,620,06CAC00772,NEBRASKANS FOR SHOEMAKER (DISSOLVED),210 NORRIS AVENUE,MCCOOK,NE,69001,C,Candidate Committee,2006-01-10,06FIS10121,,2021-10-24 14:13:22.607,
90,621,06CAC00777,ANGUS GAREY FOR LEGISLATION (DISSOLVED),PO BOX 605,MCCOOK,NE,69001,C,Candidate Committee,2006-01-13,06FIS10103,,2021-10-24 14:13:22.607,
91,622,06CAC00783,CAROL CASEY FOR LEGISLATURE,2506 S. 105 AVE,OMAHA,NE,68124,C,Candidate Committee,2006-01-30,05FIS10071,,2021-10-24 14:13:22.607,
92,623,06CAC00784,FRIENDS FOR BARB VELINSKY (DISSOLVED),15221 CEDAR CIRCLE,OMAHA,NE,68144,C,Candidate Committee,2006-01-17,06FIS10122,,2021-10-24 14:13:22.607,
93,624,06CAC00785,STEVE HESPEN FOR SHERIFF COMMITTEE,2150 ROSEDALE ROAD,FREMONT,NE,68025,C,Candidate Committee,2006-01-19,06FIS10241,,2021-10-24 14:13:22.607,
94,625,06CAC00786,GENE KELLY FOR REGENTS,1105 ROUSSEAU CT,PAPILLION,NE,68046,C,Candidate Committee,2006-01-20,06FIS10160,,2021-10-24 14:13:22.607,
95,626,06CAC00787,SCHLOTHAUER FOR LEGISLATURE,2320 17TH ST,GERING,NE,69341,C,Candidate Committee,2006-02-06,05FIS10065,,2021-10-24 14:13:22.607,
96,627,06CAC00788,CHARLES S CRIVELLARO FOR CITY COUNCIL (NR),,ARLINGTON,NE,68002,C,Candidate Committee,2006-02-08,,,2021-10-24 14:13:22.607,
97,628,06CAC00789,THE COMMITTEE TO RE-ELECT REGENT BOB WHITEHOUSE,1015 E. CARY STREET,PAPILLION,NE,68046-0000,C,Candidate Committee,2006-02-08,99FIS08011,,2021-10-24 14:13:22.607,
98,629,06CAC00794,PAT HUNTER SAUNDERS COUNTY TREASURER (NR),,WAHOO,NE,68066,C,Candidate Committee,1900-01-01,,,2021-10-24 14:13:22.607,
99,630,06CAC00795,KEVIN STUKENHOLTZ SAUNDERS COUNTY SHERIFF,755 NORTH WALNUT,WAHOO,NE,68066,C,Candidate Committee,2006-04-06,99FIS07722,,2021-10-24 14:13:22.607,
100,631,06CAC00796,CURT FRIESEN FOR LEGISLATURE (DISSOLVED 2007),1040 NORTH MAIN ST PO BOX 165,HENDERSON,NE,68371,C,Candidate Committee,2006-02-10,05FIS10062,,2021-10-24 14:13:22.607,
101,632,06CAC00797,COMMITTEE TO ELECT JOHN EWING,13516 BURT STREET,OMAHA,NE,68154,C,Candidate Committee,2006-02-14,06FIS10771,,2021-10-24 14:13:22.607,
102,633,06CAC00798,JARECKE FOR LEGISLATURE,53836 SOUTH 320TH AVE,FULLERTON,NE,68638,C,Candidate Committee,2006-02-16,99FIS04075,,2021-10-24 14:13:22.607,
103,634,06CAC00799,SENKBILE FOR LEGISLATURE COMMITTEE,1425 M ROAD,CENTRAL CITY,NE,68826,C,Candidate Committee,2006-03-02,06FIS10138,,2021-10-24 14:13:22.607,
104,635,06CAC00800,JERRY BROWN FOR SHERIFF COMMITTEE,111 FENWICK CIRCLE,PAPILLION,NE,68046,C,Candidate Committee,2006-03-17,06FIS10292,,2021-10-24 14:13:22.607,
105,636,06CAC00801,BOND FOR LEGISLATURE,"12181 'A' STREET, PO BOX 707",AVOCA,NE,68307,C,Candidate Committee,2006-03-09,99FIS09132,,2021-10-24 14:13:22.607,
106,637,06CAC00802,COMMITTEE TO ELECT TOM BARRETT(DISSOLVED),PO BOX 31641,OMAHA,NE,68131,C,Candidate Committee,2006-03-10,99FIS06715,,2021-10-24 14:13:22.607,
107,638,06CAC00803,COMMITTEE TO ELECT STEVE GUITTAR,2649 N 48TH SUITE B,LINCOLN,NE,68504,C,Candidate Committee,2006-03-15,06FIS10239,,2021-10-24 14:13:22.607,
108,639,06CAC00805,COMSTOCK FOR LEGISLATURE,5021 NICHOLAS ST,OMAHA,NE,68132,C,Candidate Committee,2006-03-17,06FIS10485,,2021-10-24 14:13:22.607,
109,640,06CAC00806,FRAZIER FOR LEGISLATURE COMMITTEE (DISSOLVED 2008),318 N 129TH,OMAHA,NE,68154,C,Candidate Committee,2006-03-17,06FIS10309,,2021-10-24 14:13:22.607,
110,641,06CAC00807,NEBRASKANS FOR MCGILL (FOR LEGISLATURE DISSOLVED),930 MAHONEY DR.,LINCOLN,NE,68504,C,Candidate Committee,2006-03-17,06FIS10441,,2021-10-24 14:13:22.607,
111,642,06CAC00809,WOOD FOR TREASURER,1814 D STREET,COZAD,NE,69130,C,Candidate Committee,2006-03-20,99FIS00375,,2021-10-24 14:13:22.607,
112,643,06CAC00810,FRIENDS OF GAGE COUNTY ATTORNEY RICHARD T SMITH (D,1507 CRESTVIEW AVE,BEATRICE,NE,68310,C,Candidate Committee,2006-03-22,99FIS02842,,2021-10-24 14:13:22.607,
113,644,06CAC00811,TAMKE FOR SHERIFF COMMITTEE (DISSOLVED),2195 N BROAD STREET,FREMONT,NE,68025,C,Candidate Committee,2006-03-22,06FIS10101,,2021-10-24 14:13:22.607,
114,645,06CAC00812,SWANSON FOR LEGISLATURE (DISSOLVED 2008),3353 WOODS AVE,LINCOLN,NE,68510,C,Candidate Committee,2006-03-23,06FIS10460,,2021-10-24 14:13:22.607,
115,646,06CAC00814,COMMITTEE TO ELECT MARLAN MILLARD,,LINCOLN,NE,68508,C,Candidate Committee,2006-03-23,,,2021-10-24 14:13:22.607,
116,647,06CAC00815,COMMITTEE TO ELECT LOUIS WURTELE (NOT REGISTERED),,ZIP NOT VALID,NE,00000,C,Candidate Committee,2006-03-23,,,2021-10-24 14:13:22.607,
117,648,06CAC00816,RENAE ROWE FOR TREASURER COMMITTEE (DISSOLVED),75560 HWY 21,COZAD,NE,69130,C,Candidate Committee,2006-03-28,06FIS10153,,2021-10-24 14:13:22.607,
118,649,06CAC00817,FRIEND FOR CLERK OF THE DISTRICT COURT,1730 N 162ND ST,OMAHA,NE,68118,C,Candidate Committee,2006-03-28,06FIS10205,,2021-10-24 14:13:22.607,
119,650,06CAC00818,TRISH LANPHIER FOR DOUGLAS CLERK OF THE DIST.COURT,1311 TURNER BLVD,OMAHA,NE,68105,C,Candidate Committee,2006-03-28,06FIS10242,,2021-10-24 14:13:22.607,
120,651,06CAC00819,COMMITTEE TO ELECT MARGARET HORNADY MAYOR (DISSOLV,"PO BOX 5168, 810 ALLEN DRIVE",GRAND ISLAND,NE,68802,C,Candidate Committee,2006-03-28,99FIS08314,,2021-10-24 14:13:22.607,
121,652,06CAC00820,DECAMP FOR LEGISLATURE (DISSOLVED),220 WASHINGTON PO BOX 7,CLATONIA,NE,68328,C,Candidate Committee,2006-03-31,99FIS03080,,2021-10-24 14:13:22.607,
122,653,06CAC00821,KOWAL FOR DOUGLAS COUNTY ASSESSOR (DISSOLVED),137 SOUTH 93RD AVENUE,OMAHA,NE,68114,C,Candidate Committee,2006-03-31,06FIS10326,,2021-10-24 14:13:22.607,
123,654,06CAC00824,CONNEALY FOR PSC,2999 OLD HWY 118,DECATUR,NE,68020,C,Candidate Committee,2006-04-03,99FIS00191,,2021-10-24 14:13:22.607,
124,655,06CAC00825,COMMITTEE TO ELECT DAN MCGOVERN SHERIFF (DISSOLVED,3514 SOUTH 119TH STREET,OMAHA,NE,68144,C,Candidate Committee,2006-04-03,06FIS10457,,2021-10-24 14:13:22.607,
125,656,06CAC00826,HARTNETT FOR MAYOR,,,,,,,,,,2021-10-24 14:13:22.607,
126,657,06CAC00827,HARTNETT FOR MAYOR (NOT REGISTERED),,ZIP NOT VALID,NE,68500,C,Candidate Committee,2006-03-30,,,2021-10-24 14:13:22.607,
127,658,06CAC00832,WALLMAN FOR LEGISLATURE (DISSOLVED),5696 SW 2 RD,CORTLAND,NE,68331,C,Candidate Committee,2006-04-05,05FIS10091,,2021-10-24 14:13:22.607,
128,659,06CAC00833,WEAVER FOR LEGISLATURE,70531 RD 428,BEAVER CITY,NE,68926,C,Candidate Committee,2006-04-05,05FIS10035,,2021-10-24 14:13:22.607,
129,660,06CAC00834,CITIZENS FOR A BETTER NEBRASKA (DISSOLVED),5001 SOUTH 65TH STREET,LINCOLN,NE,68516,I,Independent Reporting Committee,2006-04-06,,,2021-10-24 14:13:22.607,
130,661,06CAC00836,SIEGFRIED FOR SHERIFF,1802 FIRST AVENUE,SCOTTSBLUFF,NE,69361,C,Candidate Committee,2006-04-06,06FIS10578,,2021-10-24 14:13:22.607,
131,662,06CAC00837,COMMITTEE TO ELECT JONI JONES SARPY COUNTY COMMISS,821 WILSHIRE LANE,LAKE VILLA,IL,60046,C,Candidate Committee,2006-04-06,06FIS10129,,2021-10-24 14:13:22.607,
132,663,06CAC00838,JEROME KRAMER FOR SHERIFF (DISSOLVED),11979 N HWY 83,NORTH PLATTE,NE,69101,C,Candidate Committee,2006-04-07,99FIS06847,,2021-10-24 14:13:22.607,
133,664,06CAC00839,MARK CARD FOR SARPY COUNTY REGISTER DEEDS (NR),NOT A REGISTERED COMMITTEE,MILLER,NE,68858,C,Candidate Committee,2006-04-07,,,2021-10-24 14:13:22.607,
134,665,06CAC00840,TOM MAUPIN FOR SARPY COUNTY COMMISSIONER #2,,ZIP NOT VALID,NE,68500,C,Candidate Committee,2006-04-07,,,2021-10-24 14:13:22.607,
